2026-05-18 16:47:18 | INFO     | app.utils.logger:setup_logger:46 | 日志系统初始化完成
2026-05-18 16:47:18 | INFO     | main:lifespan:34 | TaskAgentSystem v1.0.0 启动中...
2026-05-18 16:47:18 | INFO     | app.utils.logger:setup_logger:46 | 日志系统初始化完成
2026-05-18 16:47:18 | INFO     | main:lifespan:34 | TaskAgentSystem v1.0.0 启动中...
2026-05-18 16:47:18 | INFO     | app.utils.logger:setup_logger:46 | 日志系统初始化完成
2026-05-18 16:47:18 | INFO     | main:lifespan:34 | TaskAgentSystem v1.0.0 启动中...
2026-05-18 16:47:18 | INFO     | app.utils.logger:setup_logger:46 | 日志系统初始化完成
2026-05-18 16:47:18 | INFO     | main:lifespan:34 | TaskAgentSystem v1.0.0 启动中...
2026-05-18 16:47:18 | INFO     | main:lifespan:38 | 数据库表结构初始化完成
2026-05-18 16:47:20 | WARNING  | app.utils.redis_client:init_redis:28 | Redis 连接失败（系统将继续运行，缓存功能不可用）: Error 10061 connecting to 127.0.0.1:6379. 由于目标计算机积极拒绝，无法连接。.
2026-05-18 16:47:20 | INFO     | app.services.scheduler:start:77 | APScheduler 定时调度器已启动
